Rank,Dataset Name,Ease of Access (0-10),Hours,Modality Count,License Status,URL Status,Access Level,Summary
1,EPIC-KITCHENS-100,9.8,100,4,CC-BY-NC-4.0,Live,Open,Gold standard kitchen ego dataset. 3 download options incl. Academic Torrents. Most extensive challenge ecosystem.
2,HO-Cap,9.5,Unknown,4,CC-BY-4.0,Live,Open,CC-BY-4.0! Multi-view RGB-D with HoloLens ego. Best-licensed hand-object dataset in this batch.
3,EgoVerse,9.5,1362,6,CC-BY-SA-4.0,Live,Open,"1362h living dataset, 240 scenes, 1965 tasks. CC-BY-SA-4.0. Direct S3 download. 6 modalities incl. hand pose, depth, IMU, narrations. 4 research labs + 3 industry partners (Mecka AI, Scale AI, Meta)."
4,EPIC-KITCHENS-55,9.2,55,3,CC-BY-NC-4.0,Live,Open,Superseded by EK-100 but still clean and fully accessible. Good for reproducibility of older baselines.
5,EgoDex,9.2,829,4,CC-BY-NC-ND-4.0,Live,Open,Massive 829h from Apple Vision Pro. Open on GitHub but license unclear. Check before using.
6,DexYCB,9.2,Unknown,3,CC-BY-NC-4.0,Live,Open,NVIDIA multi-view hand-grasping benchmark. Direct download. No formal license found.
7,EgoCom,9.2,38.5,2,CC-BY-NC-4.0,Live,Open,Multi-person egocentric conversations. CC-BY-NC-4.0. Direct GitHub download via Facebook Research.
8,HoloAssist,9.0,166,6,Custom Academic,Live,Open,166h HoloLens2 industrial dataset. CDLAv2 permissive — commercial use explicitly allowed. 7 synchronized modalities. PyHoloAssist toolkit.
9,Assembly101,8.8,513,3,CC-BY-NC-4.0,Live,Open,"Best-in-class procedural dataset: 513h multi-view, CC-BY-NC, with great tooling. Just download it."
10,EgoBody,8.8,Unknown,6,CC-BY-NC-SA-4.0,Live,Gated-Open,CC-BY-NC-SA-4.0. HoloLens2+Kinect. 7-day credentials.
11,Nymeria,8.8,300,9,CC-BY-NC-4.0,Live,Gated-Open,"CC-BY-NC-4.0. 300h, 264 people, ~70TB."
12,Breakfast,8.5,77,1,CC-BY-4.0,Redirect,Open,Gold standard for action segmentation. CC-BY-4.0! Not egocentric though  -  third-person views.
13,Human Archive (HA-Multi),8.5,3.9,5,Apache-2.0,Live,Gated-Open,"36-episode sample of 2,000+ hrs/week multimodal collection. 6 synced cameras, 256-taxel tactile gloves, 8 IMUs. Full stereo calibration. Apache 2.0. LeRobot v3. YC W26."
14,Human Archive (HA-Ego),8.5,499.9,1,Apache-2.0,Live,Gated-Open,"500h chest-cam egocentric dataset. 5,562 persons, 181 environments, 753 tasks. Apache 2.0. HuggingFace gated. Task labels via Gemini AI. YC W26."
15,RoboX EgoGrasp v0.1,8.3,0.03,4,CC-BY-NC-4.0,Live,Open,"10-clip crowdsourced sample; full dataset 1800+ clips at robox.to. CC-BY-NC-4.0. iPhone. Per-frame 21-joint hand keypoints (2D+3D), 6DoF pose + IMU in sensors.jsonl. Grasping-focused."
